location,price,size,sector,key_features,gap_station (miles from bank station),nearest_stations_detail,phone_number,contact_info,description,full_description,links
"The Railway Bell, 14 Cawnpore Street, London, SE19 1PF",POA,"2,649 sq. ft.",Pub for sale,"Pub arranged on basement, ground and first floor | First floor is divided into 5 rooms and a kitchen | Garden Space",N/A,Gipsy Hill Station - 0.1 miles | Crystal Palace Station - 0.5 miles | Sydenham Hill Station - 0.7 miles,020 3835 4135,"Marketed by Kalmars Commercial Limited, London","Comprising a late Victorian brick built pub arranged on basement, ground and first floor under a pitched roof, with a garden and storage buildings to the rear. The basement has been used for storing barrels, the ground floor has a pub with toilets to the rear and the first floor is divided into 5...","Comprising a late Victorian brick built pub arranged on basement, ground and first floor under a pitched roof, with a garden and storage buildings to the rear. The basement has been used for storing barrels, the ground floor has a pub with toilets to the rear and the first floor is divided into 5 rooms including a kitchen. The property is located in a residential street 4 minutes' walk from Gipsy Hill station and a similar distance to Westow Hill in Crystal Palace. This is in a residential area approximately 7 miles south of central London. Pub arranged on basement, ground and first floor First floor is divided into 5 rooms and a kitchen Garden Space",https://www.rightmove.co.uk/properties/174176258
"Camden, London, NW1","£50,000",N/A,Restaurant for sale,Spacious | Close to Train Station | High Footfall | Busy Parade | Easy to manage | Attractive Location | Close to schools | Close to High street | Leasehold for Sale | Parking,N/A,Camden Town Station - 0.1 miles | Mornington Crescent Station - 0.2 miles | Camden Road Station - 0.3 miles,020 3947 5994,"Marketed by GALAXY REAL ESTATE LIMITED, Hayes",GALAXY REAL ESTATE PROUDLY PRESENTS TO THE MARKET.,"""PRIME TAKEAWAY LEASE FOR SALE IN PRIME LOCATION IN CAMDEN"" Discover an exceptional opportunity to own a prime shop in the heart of Camden, London. Located in a bustling parade, this newly refurbished and attractive shop offers a high potential to increase sales. With its easy-to-manage layout and friendly customer base, this spacious property presents an ideal investment in a high footfall area. The convenience of being close to public transport, including the nearby train station, enhances the appeal of this leasehold for sale. Moreover, its proximity to schools, the High Street, and a variety of amenities makes it an attractive location for business. This property is priced at an inviting £50,000, making it an unmissable opportunity to establish your business in a vibrant and prosperous area. RENT: £81,000 Per Annum. RATES: NIL. TIMINGS: 11:00 AM to 11:00 PM. TURNOVER: £10,500 Per Week. LEASE: Long Lease Renewable. PRICE: £55K (Negotiable). RENT REVIEW: It Will Be In 2030. UTILITY BILLS: £1,000 Per Month. SEATING AREA: 22 Seating Areas. PARKING: No. ACCOMMODATION: No. This is an excellent opportunity to acquire a newly fitted shop in turnkey condition. With solid weekly takings. It-s ideal for both new entrepreneurs and experienced operators looking to expand. Enquiries & Viewings: If you would like to enquire or book an appointment, please contact us: | Sivi Babbar |   | |   |   |",https://www.rightmove.co.uk/properties/174258068
"Green Lanes, Winchmore Hill, London","£40,000",729 sq. ft.,Takeaway for sale,N/A,N/A,Winchmore Hill Station - 0.3 miles | Grange Park Station - 0.6 miles | Bush Hill Park Station - 1.2 miles,020 3834 8258,"Marketed by Mi Commercial, London","A well situated, ground floor take away premises with private parking. The property is fully equipped and ready to continue as an ongoing concern, or transformation to a new cuisine. The premises is of good specification throughout, including a frameless glass shopfront, air conditioning, a walk ...","LOCATION The premises is ideally situated in a prominent parade on Green Lanes, Winchmore Hill. Waitrose supermarket is just a stone´s throw away, in addition to the local post office being conveniently located next door. Winchmore Hill National Rail Station is also within a short walk providing convenient access to the Capital. DESCRIPTION A well situated, ground floor take away premises with private parking. The property is fully equipped and ready to continue as an ongoing concern, or transformation to a new cuisine. The premises is of good specification throughout, including a frameless glass shopfront, air conditioning, a walk in fridge, CCTV and ample storage space. Premium: £40,000 though reasonable offers will be considered. Rent: £12,850pax Rates: Please contact the local council for accurate information Use: E class Term: Assignment of 20 year lease which started in December 2020. Please note charge a £750 including VAT fee for the processing of referencing, laundering and administration Please contact one of our commercial property consultants at your earliest convenience to avoid potential disappointment. TERMS Assignment of a 20 year lease which started in December 2020 OUTGOINGS Interested parties should make their own enquiries VAT It is our understanding that this property is not elected for VAT LEGAL COSTS The assignee to be responsible for the landlords legal fees VIEWING Strictly via appointment only",https://www.rightmove.co.uk/properties/152578379
"London, W14","£10,000",N/A,Pub for sale,Spacious | Close to Train Station | High Footfall | Attractive Location | ideal for investment | Pub / Bar | Ideal for Cafe | Central London | Prime Location | Party Hall,N/A,Kensington Olympia Station - 0.1 miles | Barons Court Station - 0.5 miles | West Kensington Station - 0.5 miles,020 3947 5994,"Marketed by GALAXY REAL ESTATE LIMITED, Hayes",GALAXY REAL ESTATE PROUDLY PRESENTS TO THE MARKET. The currently shut down pub is ready to let but needs cleaning and renovation Currently the premises licence expired; need to apply Ideal location for pub and restaurant,"""PUB TO LET IN PRIME LOCATION IN KENSINGTON."" Welcome to an exceptional opportunity in the prime location of Blythe Road, London, W14. This attractive pub presents a high potential to increase sales, boasting a spacious and inviting shop in a bustling and friendly environment. The property is situated in a busy parade, offering easy management and a large customer base, making it an ideal investment for those seeking a thriving business venture. Conveniently located close to train stations, this pub benefits from high footfall and proximity to schools and the high street, ensuring a steady flow of customers. The area is surrounded by various amenities, including supermarkets, restaurants, shopping centres, and a vibrant nightlife. With its desirable location and potential for growth. Don't miss the chance to embrace this exceptional opportunity in a prosperous and vibrant area. Enquire now to make this prime property your own and take advantage of the numerous benefits it has to offer. RENT: £60,000 per annum. RATES: £16,250 Per Annum (Rateable Value) LEASE: New Lease & Renewable. SEATING AREA: 25-30 seats. ""AGENCY FEES APPLIES"" This is an excellent opportunity to acquire a profitable and respected pharmacy in a thriving West London location. Early viewing is highly recommended. Enquiries & Viewings: If you would like to enquire or book an appointment, please contact us: | Sivi Babbar |   | |   | Energy Performance Certificates EPC Graph EPC",https://www.rightmove.co.uk/properties/87990147
"The Duke of Richmond, 316 Queensbridge Road, Hackney, E8 3NH","£500,000",N/A,N/A,"Guide Price Reflects 12% Gross Yield | 20 Year Lease in Place from July 2025 | £60,000 per annum rent | Lock up Ground Floor and Basement Property | External Seating Below Heated Canopy | 232 sqm - Energy Rating B | Christie & Co Ref: 4256569",2.16,N/A,03331 882955,"Marketed by Christie & Co, Pubs & Restaurants","Virtual Freehold. Guide Price Reflects 12% Gross Yield. 20 Year Lease in Place from July 2025. £60,000 per annum rent. Lock up Ground Floor and Basement Property. External Seating Below Heated Canopy","Description The Duke of Richmond is a well-established neighborhood pub and restaurant. The property features an elegant dining space and an outdoor seating area for al fresco dining on the ground floor and a basement kitchen. It is positioned at a prime corner location with excellent public transport links and surrounded by local amenities and a vibrant community. Location Situated at 316 Queensbridge Road, Hackney, London, E8 3NH, The Duke of Richmond is a notable neighborhood pub and restaurant occupying a prime corner location at the intersection of Queensbridge Road and Richmond Road. This establishment offers both indoor and outdoor seating areas and the location boasts excellent public transport links and proximity to local amenities and green spaces, making it a highly visible and accessible venue within a vibrant and culturally rich community. The Opportunity This is a virtual freehold held on a 999 year lease dated 13.10.1999 with peppercorn rent. Planning Permissions The property is located in a Conservation Area and is Listed, Grade II. We are not aware of any recent planning applications in relation to the property. Tenure The property was let on a fully repairing and insuring underlease, contracted in to the landlord and tenant act 1954, for a term of 20 years, in July 2025. The annual rent is £60,000 plus VAT and is subject to 5 yearly rent reviews. A 4 month rent deposit, increasing by an additional 2 months on the 1st anniversary of the lease, and a personal guarantee has been secured from the tenant. Business Rates The VOA lists the property as a restaurant and premises with a rateable value of £34,500 from April 2023. The local authority is Hackney Council. Additional information Service charge Ask agent Business rates Ask agent Use class Ask agent Listed building Ask agent Business for sale Yes Energy performance certificate: B An Energy Performance certificate helps you understand the current energy efficiency of a property. Read more about EPC requirements Ask agent Environmental data BREEAM rating Ask agent Environmental description Ask agent Read more about energy considerations for commercial property Brochure Brochure 1 The Duke of Richmond, 316 Queensbridge Road, Hackney, E8 3NH Open Map",https://www.rightmove.co.uk/properties/730294825600209
"77 Brooksby's Walk, London, E9","£500,000","1,075 sq. ft.",Restaurant for sale,Rare and Unique Opportunity | Development/Conversion Potential (STP) | Suitable for a Variety of Uses (STP) | Formerly used as a bar/restaurant | The property benefits from an EPC rating of C.,3.28,Homerton Station - 0.3 miles | Hackney Central Station - 0.6 miles | Hackney Downs Station - 0.8 miles,01708 201378,"Marketed by Kemsley LLP, Rainham","The property comprises a rare opportunity to acquire a unique investment/development opportunity, comprising a former public convenience most recently used as a bar and restaurant. Internally, the accommodation is currently configured to provide open plan seating with bar and kitchen area. To th...","The property comprises a rare opportunity to acquire a unique investment/development opportunity, comprising a former public convenience most recently used as a bar and restaurant. Internally, the accommodation is currently configured to provide open plan seating with bar and kitchen area. To the rear there are WCs. The premises further benefits from additional roof top seating (subject to the necessary consents). Location 77 Brooksby's Walk is located in the Heart of Homerton, within the London Borough of Hackney. Forming part of a busy retail parade along Chatsworth Road, the area is well known for its independent cafes and shops, and is within easy reach of Victoria Park and Hackney Downs. The property benefits from excellent transport links, with Homerton railway station a short walk away, providing convenient connections via the London Overground. Hackney Central and Hackney Downs railway stations are also nearby, alongside numerous bus routes, offering easy access into the City and beyond. VAT Sale of the property is not subject to VAT. Rating Interested parties are advised to make their own enquiries. Legal Costs Each party to bear their own legal costs incurred in this transaction. EPC The property benefits from an EPC rating of C. Tenure Comments The property is available for sale on a freehold basis with vacant possession. NATURE OF SALE Our client is seeking unconditional freehold offers only.",https://www.rightmove.co.uk/properties/174432389
"Oysteria, 40 Bank Street, Canary Wharf Estate, London, E14 5NR","£500,000",N/A,N/A,"Prime Canary Wharf Location | Waterside Views | 70 Covers in Restaurant | 100 Covers on Waterfront | Turnover over £1.75m net per annum | 184 m2 / Energy Rating B | Annual rent: 100,150 | Christie & Co Ref: 2460422",3.09,N/A,03331 882955,"Marketed by Christie & Co, Pubs & Restaurants",Leasehold. Prime Canary Wharf Location. Waterside Views. 70 Covers in Restaurant. 100 Covers on Waterfront. Turnover over £1.75m net per annum,"Description Located in the heart of Canary Wharf, Oysteria is a stylish Italian seafood restaurant renowned for its fresh oysters, premium seafood dishes, and authentic Mediterranean-inspired pasta. With a chic interior and a spacious terrace overlooking the water, it offers the perfect setting for business lunches, relaxed dinners, and special occasions. Guests consistently praise its warm, welcoming atmosphere, attentive service, and exceptional quality, making Oysteria a go-to destination for both local professionals and visitors seeking a refined yet inviting dining experience. Location Oysteria is located at 40 Bank Street, Canary Wharf, London, E14 5NR—a prime riverside spot just a stone’s throw from the heart of the Docklands business district. Visitors can reach the restaurant easily via public transport: the Jubilee Line to Canary Wharf Underground Station and a short 5-minute walk southeast along Canada Square, passing through the main shopping concourse before heading onto Bank Street. Alternatively, take the DLR to Heron Quays—only about 0.16 miles (roughly 3 minutes on foot) from the station. For those arriving by river taxi, embark or disembark at the nearby Canary Wharf Pier, then enjoy a flat, picturesque stroll of under 10 minutes along the waterfront to 40 Bank Street. Oysteria is also easily accessible by road or cycle, with nearby parking and convenient cycle docking stations. Internal Details - Bar - Fully electric, open Kitchen - 70 Restaurant Covers - WC's and DDA - Storage Fixtures & Fittings Trade fixtures and fittings in the property are included in the sale, with the exception of some minor personal items. External Details - Heated and covered waterside seating for circa 100 covers - Basement Beer Cellar The Opportunity A new tenant taking on the Oysteria space at 40 Bank Street has a prime opportunity to anchor their brand in Canary Wharf’s evolving, high-footfall waterfront scene. With 210,000 sq ft of office space leased by HSBC and a growing mix of blue-chip occupiers in the building and surrounding towers, this location benefits from a consistent daytime audience of professionals. Positioned directly on the South Dock waterfront, it offers rare waterside visibility, outdoor terrace potential, and a year-round calendar of estate-wide events drawing both office workers and visitors. The wider estate is undergoing diversification—blending offices, tech firms, residential, retail, culture, and sustainability initiatives—making it a vibrant, multifunctional neighbourhood that supports strong retail and leisure growth. With available 4,626 sq ft of retail space at street level and seamless connectivity via Jubilee, DLR, and Elizabeth lines, the site delivers excellent exposure, accessibility, and a captive audience—perfect for a hospitality tenant keen to capitalize on both workspace and leisure Staff The proposed purchaser will be required to offer continuity of employment in accordance with the Transfer of Undertakings (Protection of Employment) Regulations. Prospective purchasers should complete their own enquiries and due diligence to satisfy themselves as to the rights, contracts and obligations that may run with the property and business, and also the registrations, licences, permits and certificates required to trade. Trading Information Trading information provided shows that as of December 2024, the business generated an annual turnover of just over £1.75m net of VAT. Full Trading Profit and Loss Accounts will be made available to seriously interested parties on request after a formal viewing of the business has been undertaken. Trading Hours The opening hours of the premises are as follows: - Monday to Sunday 11:30am - 10:30pm Licensable activities authorised by the licence include: Sale by retail of Alcohol and Late Night Refreshment. Licensed opening hours: - 9am - 12am Monday to Sunday Tenure This is an opportunity to acquire an existing 20-year, fully repairing and insuring, leasehold with 15 years remaining, contracted in to the landlord and tenant act 1954 at a passing rent of £100,150 pa (plus VAT), subject to five-yearly rent reviews. The landlord will likely require a 6 month deposit and/or personal guarantees. Business Rates The VOA lists the property with a rateable value of £112,000 from April 2026. The local authority is Tower Hamlets. Additional information Service charge Ask agent Business rates Ask agent Use class Ask agent Listed building Ask agent Business for sale Yes Leasehold: Ask agent Tenure Leasehold Length of lease Ask agent Energy performance certificate: B An Energy Performance certificate helps you understand the current energy efficiency of a property. Read more about EPC requirements Ask agent Environmental data BREEAM rating Ask agent Environmental description Ask agent Read more about energy considerations for commercial property Brochure Brochure 1 Oysteria, 40 Bank Street, Canary Wharf Estate, London, E14 5NR Open Map",https://www.rightmove.co.uk/properties/730294964025745
"Islington Bar and Restaurant, 20 Year Lease","£500,000",N/A,N/A,"Open Plan Trade Area with 2am Licence | External seating and Weatherproof Rooftop Bar | Commercial Trade Kitchen | 3 Bed apartment | Turnover circa £1.5m Net per annum | 465 m2 / Energy Rating D | Annual rent: £165,000 | Christie & Co Ref: 2457391",1.70,N/A,03331 882955,"Marketed by Christie & Co, Pubs & Restaurants",Leasehold. Open Plan Trade Area with 2am Licence. External seating and Weatherproof Rooftop Bar. Commercial Trade Kitchen. 3 Bed apartment. Turnover circa £1.5m Net per annum,"Description For further information you will be required to sign a non-disclosure agreement. Additional information Service charge Ask agent Business rates Ask agent Use class Ask agent Listed building Ask agent Business for sale Yes Leasehold: Ask agent Tenure Leasehold Length of lease Ask agent Energy performance certificate: D An Energy Performance certificate helps you understand the current energy efficiency of a property. Read more about EPC requirements Ask agent Environmental data BREEAM rating Ask agent Environmental description Ask agent Read more about energy considerations for commercial property About Christie Owen & Davies Ltd, Pubs & Restaurants We’re the leading specialist advisor for buying and selling businesses in our sectors - hotels, pubs, restaurants, childcare, healthcare, convenience retail, leisure and medical. If you’re looking to buy or sell a business in our specialist sectors – from a pharmacy in Sussex to a hotel in Austria – our expert advice and collaborative support will help you achieve your goals. You may be an independent first-time buyer or a multinational adding to your portfolio; either way, you’ll discover that our personalised service is focused on helping you achieve your ambitions. Clients have access to our carefully managed network of potential buyers. This unique database of contacts has been continually developed by our advanced IT capabilities and benefits from both our years of experience developing our network and our wide geographical coverage. Where we work We employ the largest team of sector specialists in the UK and the largest group of hotel specialists in Europe, providing professional brokerage and advisory services from offices in major cities across Britain and Europe. And because we’ve been doing this for over 80 years, we know our sectors and local markets inside out. We work closely with our clients to guide and conclude transactions of any size, covering hotels, restaurants and pubs, leisure, forecourts and convenience retail businesses, social care and elderly care, childcare & education facilities, dental practices and pharmacies. Our professional services We offer unrivalled insight, experience and expertise across your choice of services, including brokerage, consultancy, finance, development, investment, surveying, rent reviews, dispute resolution, corporate valuation, and turnaround & recovery. These services are all underpinned by our in-depth market intelligence and leading-edge technology. And we’re accredited by the Royal Institution of Chartered Surveyors (RICS), so you can trust in our professionalism. What makes us tick Businesses are about people, so relationships matter to us. We bring an integrity and transparency to business which can be all too rare – and that’s why people trust us. Our clients will attest to our genuine desire to help achieve their objectives, our attention to detail, and our tireless hard work on their behalf. We understand that buying a business can bring its own pressures and strains; needs can change, plans may need to be adjusted, and opportunities can come and go. But we’re always here, a constant, flexible and reliable force you can count on. Our opening hours for all offices: Mon – Fri, 9am – 5.30pm Your search history You have no recent searches Disclaimer - Property reference 2457391-lh. The information displayed about this property comprises a property advertisement. Rightmove.co.uk makes no warranty as to the accuracy or completeness of the advertisement or any linked or associated information, and Rightmove has no control over the content. This property advertisement does not constitute property particulars. The information is provided and maintained by Christie Owen & Davies Ltd, Pubs & Restaurants. Please contact the selling agent or developer directly to obtain any information which may be available under the terms of The Energy Performance of Buildings (Certificates and Inspections) (England and Wales) Regulations 2007 or the Home Report if in relation to a residential property in Scotland. Marketed By Christie Owen & Davies Ltd, Pubs & Restaurants More properties from this agent Call agent Request details Download the Rightmove app Resources Stamp Duty Calculator House Price Index Property guides Property news Buyer guides Seller guides Renter guides Landlord guides Removals Energy efficiency Mortgage in Principle Mortgage Calculator Mortgage guides Search Search homes for sale Search homes for rent Commercial for sale Commercial to rent Overseas homes for sale Search sold house prices Find an agent Student accommodation Retirement homes New homes Locations Major towns and cities in the UK London Cornwall Glasgow Cardiff Edinburgh Spain France Portugal Rightmove Tech blog About Press centre Investor relations Contact us Careers Sign in or create account HomeViews Professional Rightmove Plus Data Services Advertise on Rightmove Overseas agents and developers Home and property related services Advertise commercial property HomeViews Business Hub Site map Help Cookies Safety and Security Terms of Use Privacy Policy New updates Copyright © 2000- 2025 Rightmove Group Limited. All rights reserved. Rightmove prohibits the scraping of its content. You can find further details here .",https://www.rightmove.co.uk/properties/736996665062273
"2-4 Leigham Court Road, London, SW16 2BH","£500,000","1,862 sq. ft.",Leisure facility for sale,"7.2% Gross yield, before any purchaser costs | Sale price £500,000 for the benefit of the Long Leasehold | Freehold also available subject to further negotiation | Current Income - £36,000 per annum | Current tenant - Body Fit Training (BFT) | Prominent Location - Close to Streatham Hill Station",5.49,Streatham Station - 0.8 miles | Streatham Hill Station - 0.1 miles | Streatham Common Station - 1.4 miles,020 4634 7467,"Marketed by Stirling Ackroyd, Commercial",Leisure/Gym Commercial Investment For Sale,"Description HEAD LEASE/LONG LEASE : The virtual-freehold/long leasehold is available (250-years from 2014) at a guide price of £500,000 (ex. VAT). The long leasehold is subject to a Ground Rent of £300 per annum The Freehold is also available at an additional price - terms on application/subject to further negotiation The purchase price of £500,000  reflects a Gross Yield of 7.2% before any purchaser costs TENANT DETAILS : The premises are let on a FRI lease to a Body Fit Training (“BFT”) gym franchisee, who  also owns a second BFT gym in Battersea, London. TENANCY DETAILS : The property is let on a FRI lease to FHL Streatham Ltd (with a guarantor from FHL Battersea Ltd), for a term of 10-years (held outside The 1954 Act) expiring in August 2035. The lease allows for a tenant-only break option which can be exercised in August 2030 The current rent is £36,000 per annum exclusive, with the next rent review in August 2030 (upwards-only, RPI-index based). A 3-month rent deposit is held as a lease security. The Tenant benefits from a rent-free period until 11th March 2026. Location The premises are situated on Leigham Court Road close to the prominent junction with Streatham High Road (A23) Streatham Hill offers a high density of residential occupiers as well as national and local retail/office occupiers in close proximity. Streatham Hill National Rail Station, Marks & Spencer and the London Square Streatham Hill residential development are all within 2 minutes walk The property is located within the London Borough of Lambeth Energy Performance Certificates EPC",https://www.rightmove.co.uk/properties/173955275
"Unit 35, Waterside, Islington, N1 7UX","£425,000",627 sq. ft.,N/A,Newly refurbished | Grade II listed with original crittal  windows | On-site cafe | Characterful office/leisure space with  direct views over the Wenlock  Basin | Courtyard setting | Great natural light | Kitchenette | Wooden flooring,1.33,N/A,020 3905 1550,"Marketed by Forest Real Estate, London",A newly refurbished and beautifully decorated studio/suite with state of the art amenities.,"Description A recently redecorated 627 sq ft office/leisure unit that feels bright, welcoming and ready to move straight into, thanks to its incredible natural light and clean, modern finish. The space includes a handy kitchenette and is flexible enough to suit a range of uses, from office to studio or wellness-based businesses. Set within a characterful commercial mews, you’ll be part of a friendly, creative community with great amenities on your doorstep, including a coffee shop, Pilates studio, psychotherapy services and a lovely communal river terrace. Location Located on Wharf Road, Waterside is ideally positioned in the heart of North London. With easy access to major transport links, including nearby Angel and Old Street stations, the area is well-connected and offers a vibrant mix of local amenities, cafés, and restaurants. This estate is uniquely located overlooking the Wenlock Basin which leads into the Regents Canal. This is an amenity enjoyed by all tenants who use the landscaped water ' s edge during lunch time as a communal place to meet, eat and relax. Additional information Service charge £3,413.27 Business rates Ask agent Use class Ask agent Listed building Ask agent Energy performance certificate: Ask agent An Energy Performance certificate helps you understand the current energy efficiency of a property. Read more about EPC requirements Ask agent Environmental data BREEAM rating Ask agent Environmental description Ask agent Read more about energy considerations for commercial property Brochure Brochure 1 Unit 35, Waterside, Islington, N1 7UX Open Map Street view",https://www.rightmove.co.uk/properties/750561853675216
